code,filename,category,number,composition,max_width,thickness,weight,blackout_rate,openness,resolution,page
82032A,82032A_blackout.png,Blackout,82032,100% Polyester,280cm,0.63mm,430g/m²,Blackout,,561x510,3
82032D,82032D_blackout.png,Blackout,82032,100% Polyester,280cm,0.63mm,430g/m²,Blackout,,534x486,3
82032E,82032E_blackout.png,Blackout,82032,100% Polyester,280cm,0.63mm,430g/m²,Blackout,,585x531,3
82032B,82032B_blackout.png,Blackout,82032,100% Polyester,280cm,0.63mm,430g/m²,Blackout,,531x485,3
82132F,82132F_transparent.png,Transparent,82132,30% polyester +70% PVC,300cm,0.7mm,467g/m²,Transparent,,859x574,4
82132D,82132D_transparent.png,Transparent,82132,30% polyester +70% PVC,300cm,0.7mm,467g/m²,Transparent,,859x574,4
82132E,82132E_transparent.png,Transparent,82132,30% polyester +70% PVC,300cm,0.7mm,467g/m²,Transparent,,862x574,4
82132H,82132H_transparent.png,Transparent,82132,30% polyester +70% PVC,300cm,0.7mm,467g/m²,Transparent,,859x572,4
82132B,82132B_semi-blackout.png,Semi_Blackout,82132,30% Polyester  + 70% PVC,300cm,0.70mm,467g/m²,Semi_Blackout,,1139x1197,5
82132A,82132A_semi-blackout.png,Semi_Blackout,82132,30% Polyester  + 70% PVC,300cm,0.70mm,467g/m²,Semi_Blackout,,1256x1058,5
82181C,82181C_transparent.png,Transparent,82181,30% polyester +70% PVC,300cm,0.7mm,480g/m²,Transparent,,810x540,6
82181A,82181A_transparent.png,Transparent,82181,30% polyester +70% PVC,300cm,0.7mm,480g/m²,Transparent,,786x525,6
82181B,82181B_transparent.png,Transparent,82181,30% polyester +70% PVC,300cm,0.7mm,480g/m²,Transparent,,790x527,6
82181E,82181E_transparent.png,Transparent,82181,30% polyester +70% PVC,300cm,0.7mm,480g/m²,Transparent,,806x537,6
82176A,82176A_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,785x524,7
82176C,82176C_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,811x541,7
82176E,82176E_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,761x508,7
82176F,82176F_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,764x510,7
82176G,82176G_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,765x509,7
82176D,82176D_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,915x611,7
82176B,82176B_blackout.png,Blackout,82176,30% polyester +70% PVC,300cm,0.68mm,663g/m²,Blackout,,787x525,7
82179B,82179B_super-blackout.png,Super_Blackout,82179,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,1194x796,8
82179A,82179A_super-blackout.png,Super_Blackout,82179,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,1172x750,8
82179C,82179C_super-blackout.png,Super_Blackout,82179,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,1193x796,8
82180A,82180A_super-blackout.png,Super_Blackout,82180,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,706x470,9
82180C,82180C_super-blackout.png,Super_Blackout,82180,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,1016x678,9
82180E,82180E_super-blackout.png,Super_Blackout,82180,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,1016x677,9
82180D,82180D_super-blackout.png,Super_Blackout,82180,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,915x611,9
82180B,82180B_super-blackout.png,Super_Blackout,82180,100% Polyester,300cm,0.6mm,418g/m²,Super_Blackout,,704x470,9
82183A,82183A_super-blackout.png,Super_Blackout,82183,100% Polyester,280cm,0.6mm,335g/m²,Super_Blackout,,893x596,10
82183C,82183C_super-blackout.png,Super_Blackout,82183,100% Polyester,280cm,0.6mm,335g/m²,Super_Blackout,,1016x678,10
